what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433492846826
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433492851452
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433492854382
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1433492858226
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433492866483
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433492998442
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433493000787
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433493003786
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493007075
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493015842
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493016202
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493016623
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433493017429
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1433493018618
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1433493019111
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1433493020668
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433493021358
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433493028480
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433493037603
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433493047823
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493048226
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493049575
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.ClassFileEditor",1433493050760
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.ClassFileEditor",1433493050860
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433493050900
