what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496265835
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433496274722
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496297573
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496329322
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496334033
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496336513
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496336955
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496341578
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433496343713
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496356235
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496358805
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433496359894
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433496362481
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496363833
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496380035
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433496381219
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433496384855
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496387270
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496388878
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433496390882
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433496404482
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496406027
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433496447590
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433496452352
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433496455971
